index|query|topic|time_period|adjective
138|In what year did Google announce a 53-qubit quantum computer, named Sycamore, which reportedly performed a complex calculation in 200 seconds that would take the world's most powerful classical supercomputer approximately 10,000 years to accomplish?|quantum computing|modern|interesting
139|"Did the ancient Greeks utilize the ""Caesar Cipher"" or a similar cryptographic technique to secure messages, as evidenced by the surviving works of the Greek historian Polybius (circa 200-118 BCE)?"|cybersecurity|ancient|significant
140|What specific advancements in microbiology or bio-related sciences can be attributed to Antonie van Leeuwenhoek, a Dutch tradesman, during the late Renaissance period (1650-1700), which significantly impacted the development of biotechnology?|biotechnology|renaissance|important
141|Was blockchain technology, as defined by its modern cryptographic and distributed ledger characteristics, utilized in any known ancient civilization prior to the 5th century AD?|blockchain|ancient|important
142|What ancient civilization's system of clay tablets and scribes, utilized for tracking temple commodity transactions around 500 BCE in present-day Iraq, exhibits similarities with modern blockchain concepts in terms of distributed record-keeping and immutability?|blockchain|ancient|interesting
143|Were there any recorded mentions or conceptualizations of automated mechanical devices resembling modern artificial intelligence principles in the works of medieval scholars, such as Al-Jazari or Ramon Llull, between the 12th to 15th centuries?|artificial intelligence|medieval|relevant
144|"During the Renaissance period, approximately how many years after Leonardo da Vinci's design of the mechanical knight (1495) was the first known written reference to a hypothetical thinking machine, as described by Charles Babbage's precursor, Ramon Llull, actually penned, considering Llull's work ""Ars Magna"" was published posthumously?"|artificial intelligence|renaissance|interesting
145|What percentage of global virtual reality (VR) headset shipments in 2020 were accounted for by the top three manufacturers: Oculus (Facebook), HTC, and Sony?|virtual reality|contemporary|significant
146|Which renowned Renaissance astronomer, in his 1543 work 'De revolutionibus orbium coelestium', first proposed a heliocentric model of the universe, contradicting the geocentric view dominant during the era?|space exploration|renaissance|interesting
147|What year did the first decentralized cryptocurrency, Bitcoin, launch its blockchain network, as outlined in the whitepaper published by Satoshi Nakamoto?|blockchain|modern|interesting
148|What year is commonly cited as the starting point for the development of the Internet of Things (IoT) concept, coinciding with the dawn of the Fourth Industrial Revolution (Industry 4.0)?|internet of things|industrial revolution|important
149|What year did the first decentralized cryptocurrency, Bitcoin, launch its blockchain network, marking the beginning of widespread blockchain adoption in the modern era?|blockchain|modern|relevant
150|Did the ancient Greeks use polished bronze shields or other reflective surfaces to project images, a primitive form of augmented reality, in their theatrical performances, as described in the writings of Aristophanes (circa 400 BCE)?|augmented reality|ancient|significant
151|What approximate percentage of the Earth's surface is estimated to have been covered by ice sheets during the Last Glacial Maximum, which occurred around 26,500 to 19,000 years ago?|climate change|ancient|interesting
152|Was the use of illuminated manuscripts with elaborate illustrations and layered vellum overlays during the medieval period (500-1500 AD) an early precursor to the concept of augmented reality, enhancing the reader's visual experience with additional contextual information?|augmented reality|medieval|significant
153|What is the name of the first privately funded spacecraft to dock with the International Space Station, which successfully completed this feat in May 2012?|space exploration|contemporary|important
154|Were any notable European Renaissance-era (14th-17th century) artistic, literary, or philosophical works, such as those by Leonardo da Vinci or William Shakespeare, observed to explicitly reference or allegorize unusual weather patterns or environmental shifts, potentially indicative of climate change awareness during that time?|climate change|renaissance|important
